#F LShellConstants.dat
#U00 Reference:
#U01 M.H. Chen, B. Crasemann, H. Mark 
#U02 Widths and fluorescence yields of atomic L-shell vacancy states
#U03 Physical Review A volume 24 number 1 (1981) 177-182.
#U04 Widths are given in eV
#U05 omegaL2 for Z < 25 taken form EADL97

#S 1 L1 x-ray data
#N 6
#L Z  gammaAL1  gammaL1  f12  f13  omegaL1
1  0  0  0  0  0  
2  0  0  0  0  0  
3  0  0  0  0  0  
4  0  0  0  0  0  
5  0  0  0  0  0  
6  0  0  0  0  0  
7  0  0  0  0  0  
8  0  0  0  0  0  
9  0  0  0  0  0  
10  0  0  0  0  0  
11  0  0  0  0  0  
12  0  0  0  0  0  
13  0  0  0  0  0  
14  0  0  0  0  0  
15  0  0  0  0  0  
16  0  0  0  0  0  
17  0  0  0  0  0  
18  0.121  2.716  0.327  0.628  0.0001078  
19  0.147  3.1055  0.327  0.6255  0.00015205  
20  0.173  3.495  0.327  0.623  0.0001963  
21  0.1938  4.083  0.3152  0.636  0.00022644  
22  0.2146  4.671  0.3034  0.649  0.00025658  
23  0.2354  5.259  0.2916  0.662  0.00028672  
24  0.2562  5.847  0.2798  0.675  0.00031686  
25  0.277  6.435  0.268  0.688  0.000347  
26  0.317  7.0674  0.2712  0.6836  0.000398  
27  0.357  7.6998  0.2744  0.6792  0.000449  
28  0.397  8.3322  0.2776  0.6748  0.0005  
29  0.437  8.9646  0.2808  0.6704  0.000551  
30  0.477  9.597  0.284  0.666  0.000602  
31  0.524  9.3768  0.2652  0.6778  0.0008276  
32  0.571  9.1566  0.2464  0.6896  0.0010532  
33  0.618  8.9364  0.2276  0.7014  0.0012788  
34  0.665  8.7162  0.2088  0.7132  0.0015044  
35  0.712  8.496  0.19  0.725  0.00173  
36  0.76  7.944  0.198  0.704  0.00221  
37  0.80525  7.4355  0.1705  0.71475  0.0030325  
38  0.8505  6.927  0.143  0.7255  0.003855  
39  0.89575  6.4185  0.1155  0.73625  0.0046775  
40  0.941  5.91  0.088  0.747  0.0055  
41  0.9828  6.0816  0.0828  0.7494  0.006232  
42  1.0246  6.2532  0.0776  0.7518  0.006964  
43  1.0664  6.4248  0.0724  0.7542  0.007696  
44  1.1082  6.5964  0.0672  0.7566  0.008428  
45  1.15  6.768  0.062  0.759  0.00916  
46  1.194  6.81  0.065  0.7495  0.01028  
47  1.238  6.852  0.068  0.74  0.0114  
48  1.2787  5.5687  0.108  0.60067  0.019767  
49  1.3193  4.2853  0.148  0.46133  0.028133  
50  1.36  3.002  0.188  0.322  0.0365  
51  1.398  3.1335  0.19  0.324  0.0391  
52  1.436  3.265  0.192  0.326  0.0417  
53  1.473  3.3945  0.194  0.327  0.0446  
54  1.51  3.524  0.196  0.328  0.0475  
55  1.545  3.657  0.198  0.3285  0.05065  
56  1.58  3.79  0.2  0.329  0.0538  
57  1.6035  3.9095  0.20225  0.3295  0.0573  
58  1.627  4.029  0.2045  0.33  0.0608  
59  1.6505  4.1485  0.20675  0.3305  0.0643  
60  1.674  4.268  0.209  0.331  0.0678  
61  1.696  4.3967  0.21067  0.33167  0.071633  
62  1.718  4.5253  0.21233  0.33233  0.075467  
63  1.74  4.654  0.214  0.333  0.0793  
64  1.7577  4.7867  0.215  0.33375  0.083575  
65  1.7755  4.9195  0.216  0.3345  0.08785  
66  1.7933  5.0522  0.217  0.33525  0.092125  
67  1.811  5.185  0.218  0.336  0.0964  
68  1.8287  5.2397  0.184  0.34133  0.10293  
69  1.8463  5.2943  0.15  0.34667  0.10947  
70  1.864  5.349  0.116  0.352  0.116  
71  1.8858  5.5015  0.13325  0.3515  0.12125  
72  1.9075  5.654  0.1505  0.351  0.1265  
73  1.9292  5.8065  0.16775  0.3505  0.13175  
74  1.951  5.959  0.185  0.35  0.137  
75  1.9735  7.3777  0.16567  0.40917  0.12783  
76  1.996  8.7963  0.14633  0.46833  0.11867  
77  2.0185  10.215  0.127  0.5275  0.1095  
78  2.041  11.634  0.10767  0.58667  0.10033  
79  2.0635  13.052  0.088333  0.64583  0.091167  
80  2.086  14.471  0.069  0.705  0.082  
81  2.1087  14.562  0.0643  0.70333  0.0876  
82  2.1313  14.652  0.0596  0.70167  0.0932  
83  2.154  14.743  0.0549  0.7  0.0988  
84  2.1769  14.888  0.055271  0.69371  0.10469  
85  2.1997  15.034  0.055643  0.68743  0.11057  
86  2.2226  15.179  0.056014  0.68114  0.11646  
87  2.2454  15.325  0.056386  0.67486  0.12234  
88  2.2683  15.47  0.056757  0.66857  0.12823  
89  2.2911  15.616  0.057129  0.66229  0.13411  
90  2.314  15.761  0.0575  0.656  0.14  
91  2.3365  16.137  0.05425  0.656  0.145  
92  2.359  16.514  0.051  0.656  0.15  
93  2.3805  16.618  0.05  0.64925  0.1575  
94  2.402  16.721  0.049  0.6425  0.165  
95  2.4235  16.825  0.048  0.63575  0.1725  
96  2.445  16.929  0.047  0.629  0.18  
97  2.4665  17.081  0.047  0.6205  0.1885  
98  2.488  17.234  0.047  0.612  0.197  
99  2.511  17.385  0.047  0.6025  0.2065  
100  2.534  17.536  0.047  0.593  0.216  
101  2.534  17.536  0.047  0.593  0.216  
102  2.534  17.536  0.047  0.593  0.216  
103  2.534  17.536  0.047  0.593  0.216  
104  2.534  17.536  0.047  0.593  0.216  
105  2.534  17.536  0.047  0.593  0.216  
106  2.534  17.536  0.047  0.593  0.216  
107  2.534  17.536  0.047  0.593  0.216  
108  2.534  17.536  0.047  0.593  0.216  
109  2.534  17.536  0.047  0.593  0.216  

#S 2 L2 x-ray data
#N 5
#L Z  gammaAL2  gammaL2  f23  omegaL2
1  0  0  0  0  
2  0  0  0  0  
3  0  0  0  0  
4  0  0  0  0  
5  0  0  0  0  
6  0  0  0  0  
7  0  0  0  0  
8  0  0  0  0  
9  0  0  0  0  
10  0  0  0  0  
11  0  0  0  0  
12  0  0  0  0  
13  0  0  0  0  
14  0  0  0  0  
15  0  0  0  0  
16  0  0  0  0  
17  0  0  0  0  
18  0  0  0  0  
19  0  0  0  0  
20  0  0  0  0  
21  0  0  0  0.000608  
22  0  0  0  0.00115  
23  0  0  0  0.00186  
24  0  0  0  0.00291  
25  0.39  0.392  0  0.0039  
26  0.4448  0.4518  0  0.0054  
27  0.4996  0.5116  0  0.0068  
28  0.5544  0.5714  0  0.0082  
29  0.6092  0.6312  0  0.0096  
30  0.664  0.691  0  0.011  
31  0.73683  0.78333  0  0.012667  
32  0.80967  0.87567  0  0.014333  
33  0.8825  0.968  0  0.016  
34  0.95533  1.0603  0  0.017667  
35  1.0282  1.1527  0  0.019333  
36  1.101  1.245  0.095  0.021  
37  1.169  1.3408  0.10275  0.0235  
38  1.237  1.4365  0.1105  0.026  
39  1.305  1.5322  0.11825  0.0285  
40  1.373  1.628  0.126  0.031  
41  1.4394  1.7288  0.1312  0.0344  
42  1.5058  1.8296  0.1364  0.0378  
43  1.5722  1.9304  0.1416  0.0412  
44  1.6386  2.0312  0.1468  0.0446  
45  1.705  2.132  0.152  0.048  
46  1.7685  2.2275  0.1535  0.052  
47  1.832  2.323  0.155  0.056  
48  1.8933  2.4277  0.15867  0.060667  
49  1.9547  2.5323  0.16233  0.065333  
50  2.016  2.637  0.166  0.07  
51  2.072  2.74  0.1685  0.0755  
52  2.128  2.843  0.171  0.081  
53  2.182  2.946  0.1725  0.087  
54  2.236  3.049  0.174  0.093  
55  2.286  3.152  0.1755  0.099  
56  2.336  3.255  0.177  0.105  
57  2.366  3.3293  0.17525  0.1135  
58  2.396  3.4035  0.1735  0.122  
59  2.426  3.4778  0.17175  0.1305  
60  2.456  3.552  0.17  0.139  
61  2.482  3.6273  0.16733  0.14833  
62  2.508  3.7027  0.16467  0.15767  
63  2.534  3.778  0.162  0.167  
64  2.5532  3.8565  0.1595  0.17775  
65  2.5725  3.935  0.157  0.1885  
66  2.5918  4.0135  0.1545  0.19925  
67  2.611  4.092  0.152  0.21  
68  2.628  4.1807  0.149  0.222  
69  2.645  4.2693  0.146  0.234  
70  2.662  4.358  0.143  0.246  
71  2.6848  4.4737  0.142  0.257  
72  2.7075  4.5895  0.141  0.268  
73  2.7302  4.7052  0.14  0.279  
74  2.753  4.821  0.139  0.29  
75  2.7737  4.9668  0.137  0.303  
76  2.7943  5.1127  0.135  0.316  
77  2.815  5.2585  0.133  0.329  
78  2.8357  5.4043  0.131  0.342  
79  2.8563  5.5502  0.129  0.355  
80  2.877  5.696  0.127  0.368  
81  2.9159  5.8894  0.12487  0.381  
82  2.9547  6.0827  0.12273  0.394  
83  2.9936  6.2761  0.1206  0.407  
84  3.0005  6.4695  0.11848  0.42  
85  3.0074  6.6629  0.11636  0.433  
86  3.0142  6.8562  0.11424  0.446  
87  3.0211  7.0496  0.11212  0.459  
88  3.028  7.243  0.11  0.472  
89  3.044  7.4775  0.108  0.485  
90  3.06  7.712  0.106  0.498  
91  3.07  8.338  0.138  0.494  
92  3.082  8.62  0.138  0.505  
93  3.0925  9.4395  0.1815  0.489  
94  3.103  10.259  0.225  0.473  
95  3.1145  10.483  0.218  0.485  
96  3.126  10.708  0.211  0.497  
97  3.136  10.985  0.2035  0.5105  
98  3.146  11.261  0.196  0.524  
99  3.157  11.689  0.1975  0.5315  
100  3.168  12.118  0.199  0.539  
101  3.168  12.118  0.199  0.539  
102  3.168  12.118  0.199  0.539  
103  3.168  12.118  0.199  0.539  
104  3.168  12.118  0.199  0.539  
105  3.168  12.118  0.199  0.539  
106  3.168  12.118  0.199  0.539  
107  3.168  12.118  0.199  0.539  
108  3.168  12.118  0.199  0.539  
109  3.168  12.118  0.199  0.539  

#S 3 L3 x-ray data
#N 4
#L Z  gammaAL3  gammaL3  omegaL3
1  0  0  0  
2  0  0  0  
3  0  0  0  
4  0  0  0  
5  0  0  0  
6  0  0  0  
7  0  0  0  
8  0  0  0  
9  0  0  0  
10  0  0  0  
11  0  0  0  
12  0  0  0  
13  0  0  0  
14  0  0  0  
15  0  0  0  
16  0  0  0  
17  0  0  0  
18  0.155  0.155  1.82e-04  
19  0.1825  0.1825  2.33e-04  
20  0.21  0.21  2.85e-04  
21  0.2354  0.2358  0.00114  
22  0.2608  0.2616  0.0020  
23  0.2862  0.2874  0.00286
24  0.3116  0.3132  0.00371  
25  0.337  0.339  0.00457  
26  0.4074  0.4106  0.0062  
27  0.4778  0.4822  0.0074  
28  0.5482  0.5538  0.0086  
29  0.6186  0.6254  0.0098  
30  0.689  0.697  0.011  
31  0.76867  0.77967  0.012833  
32  0.84833  0.86233  0.014667  
33  0.928  0.945  0.0165  
34  1.0077  1.0277  0.018333  
35  1.0873  1.1103  0.020167  
36  1.167  1.193  0.022  
37  1.2415  1.2733  0.0245  
38  1.316  1.3535  0.027  
39  1.3905  1.4337  0.0295  
40  1.465  1.514  0.032  
41  1.544  1.6028  0.0356  
42  1.623  1.6916  0.0392  
43  1.702  1.7804  0.0428  
44  1.781  1.8692  0.0464  
45  1.86  1.958  0.05  
46  1.944  2.055  0.054  
47  2.028  2.152  0.058  
48  2.104  2.2453  0.062667  
49  2.18  2.3387  0.067333  
50  2.256  2.432  0.072  
51  2.331  2.5275  0.0775  
52  2.406  2.623  0.083  
53  2.4815  2.723  0.0885  
54  2.557  2.823  0.094  
55  2.6265  2.9205  0.1005  
56  2.696  3.018  0.107  
57  2.7463  3.1017  0.11425  
58  2.7965  3.1855  0.1215  
59  2.8467  3.2693  0.12875  
60  2.897  3.353  0.136  
61  2.945  3.4427  0.144  
62  2.993  3.5323  0.152  
63  3.041  3.622  0.16  
64  3.0835  3.715  0.169  
65  3.126  3.808  0.178  
66  3.1685  3.901  0.187  
67  3.211  3.994  0.196  
68  3.254  4.098  0.20533  
69  3.297  4.202  0.21467  
70  3.34  4.306  0.224  
71  3.3907  4.4325  0.234  
72  3.4415  4.559  0.244  
73  3.4923  4.6855  0.254  
74  3.543  4.812  0.264  
75  3.5988  4.9607  0.27333  
76  3.6547  5.1093  0.28267  
77  3.7105  5.258  0.292  
78  3.7663  5.4067  0.30133  
79  3.8222  5.5553  0.31067  
80  3.878  5.704  0.32  
81  3.9357  5.893  0.33133  
82  3.9933  6.082  0.34267  
83  4.051  6.271  0.354  
84  4.11  6.4806  0.36384  
85  4.169  6.6902  0.37368  
86  4.228  6.8997  0.38352  
87  4.287  7.1093  0.39336  
88  4.346  7.3189  0.4032  
89  4.405  7.5285  0.4131  
90  4.464  7.738  0.423  
91  4.518  7.971  0.433  
92  4.571  8.204  0.443  
93  4.6295  8.4503  0.4515  
94  4.688  8.6965  0.46  
95  4.7465  8.9428  0.4685  
96  4.805  9.189  0.477  
97  4.8695  9.475  0.4855  
98  4.934  9.761  0.494  
99  4.997  10.063  0.503  
100  5.06  10.365  0.512  
101  5.06  10.365  0.512  
102  5.06  10.365  0.512  
103  5.06  10.365  0.512  
104  5.06  10.365  0.512  
105  5.06  10.365  0.512  
106  5.06  10.365  0.512  
107  5.06  10.365  0.512  
108  5.06  10.365  0.512  
109  5.06  10.365  0.512  
