#F EADL97_LShellConstants.dat
#U00 This file is a conversion to specfile format of 
#U01 directly extracted EADL97 Shell constants.
#U02 to simplify its use with the fisx and PyMca software packages.
#U03
#U04 Neither those packages or their author(s) claim any ownership of
#U05 the data and they do not warrant the integrity of the data following 
#U07 the conversion process.
#U06
#U07 EADL itself can be found at:
#U08           http://www-nds.iaea.org/epdl97/libsall.htm
#U09 The code used to generate this file has been:
#U10 GenerateEADLShellConstants.py
#U11
#U12 The proper way to quote these data is:
#U13 D.E. Cullen, et al., "Tables and Graphs of Atomic Subshell and 
#U14 Relaxation Data Derived from the LLNL Evaluated Atomic Data Library
#U15 (EADL), Z = 1 - 100," Lawrence Livermore National Laboratory, UCRL-50400,
#U16  Vol. 30, October 1991
#U17 The author of these data, D.E. Cullen, has stated that redistribution of the
#U18 data is permitted provided the previous credits are maintained.
#U19 

#S 1 L1 x-ray data
#N 4
#L Z  f12  f13  omegaL1
1  0.0000E+00  0.0000E+00  0.0000E+00
2  0.0000E+00  0.0000E+00  0.0000E+00
3  0.0000E+00  0.0000E+00  0.0000E+00
4  0.0000E+00  0.0000E+00  0.0000E+00
5  0.0000E+00  0.0000E+00  0.0000E+00
6  0.0000E+00  0.0000E+00  0.0000E+00
7  0.0000E+00  0.0000E+00  0.0000E+00
8  0.0000E+00  0.0000E+00  0.0000E+00
9  0.0000E+00  0.0000E+00  0.0000E+00
10  0.0000E+00  0.0000E+00  0.0000E+00
11  3.3490E-01  6.6499E-01  1.7145E-05
12  3.3122E-01  6.5659E-01  0.0000E+00
13  3.2955E-01  6.5110E-01  0.0000E+00
14  3.2884E-01  6.4544E-01  0.0000E+00
15  3.2813E-01  6.4139E-01  0.0000E+00
16  3.2916E-01  6.3663E-01  0.0000E+00
17  3.2903E-01  6.3438E-01  4.9552E-05
18  3.2821E-01  6.2781E-01  7.3384E-05
19  3.2224E-01  6.0647E-01  1.0207E-04
20  3.1179E-01  5.9531E-01  1.4134E-04
21  3.0694E-01  5.8268E-01  1.6597E-04
22  2.9779E-01  5.7304E-01  1.9180E-04
23  2.8462E-01  5.7147E-01  2.2148E-04
24  2.8829E-01  5.5365E-01  2.3902E-04
25  2.3893E-01  5.9519E-01  3.1169E-04
26  2.3839E-01  5.8908E-01  3.5166E-04
