#F D:/Cu-EXAFS.dat
#D Mon Jun 04 14:15:57 2012

#S 1 cu.dat 1.1 Column 2
#D Mon Jun 04 14:15:57 2012
#N 2
#L Column 1  Column 2
8002.894  0.5249888
8007.32  0.5236315
8011.75  0.5225714
8016.183  0.5218208
8020.621  0.5207962
8025.062  0.5200812
8029.507  0.5189023
8033.955  0.518247
8038.408  0.5174832
8042.862  0.5163729
8047.322  0.5156916
8051.784  0.5147099
8056.249  0.5140327
8060.717  0.5130494
8100.171  0.5058498
8145.276  0.4974594
8190.697  0.4893574
8236.507  0.4815498
8282.821  0.4740914
8329.766  0.4664946
8377.449  0.4588794
8425.936  0.451215
8475.238  0.4437138
8525.308  0.4360756
8576.049  0.4284512
8576.304  0.4284365
8576.56  0.4283843
8576.814  0.4282949
8577.069  0.4282861
8577.325  0.4283102
8577.579  0.4283116
8577.836  0.4282802
8578.09  0.4282368
8578.347  0.4282321
8578.601  0.4281985
8578.856  0.4281856
8579.112  0.4280165
8579.367  0.428111
8579.624  0.4280418
8579.878  0.4281375
8580.134  0.4280752
8580.39  0.4280996
8580.645  0.4280889
8580.9  0.4281009
8581.156  0.4280057
8581.411  0.4278349
8581.667  0.427756
8581.922  0.4277539
8582.178  0.4276694
8582.433  0.427461
8582.688  0.4274982
8582.943  0.4273823
8583.2  0.4274152
8583.455  0.4273388
8583.711  0.4273756
8583.966  0.4272783
8584.222  0.4272597
8584.478  0.4271484
8584.733  0.4272674
8584.989  0.4270131
8585.245  0.427358
8585.501  0.4273539
8585.757  0.4273249
8586.012  0.4270785
8586.269  0.4268913
8586.523  0.4269325
8586.779  0.4271896
8587.035  0.4272136
8587.291  0.4273095
8587.547  0.4273235
8587.802  0.427208
8588.059  0.4271069
8588.313  0.4271477
8588.569  0.4271724
8588.826  0.4269993
8589.081  0.4270321
8589.337  0.4270093
8590.104  0.4269061
8592.666  0.4265189
8595.227  0.4261186
8597.79  0.4256906
8600.354  0.4253151
8600.481  0.4253406
8600.738  0.4252528
8600.994  0.4251855
8601.251  0.4252552
8601.508  0.4251225
8601.764  0.4251553
8602.021  0.4250227
8602.277  0.425074
8602.534  0.4249597
8602.79  0.4249927
8603.047  0.4248601
8603.304  0.4249195
8603.56  0.4247155
8603.816  0.4247934
8604.073  0.4247711
8604.33  0.4246939
8604.587  0.4247267
8604.844  0.4246495
8605.1  0.4245803
8605.356  0.4246681
8605.613  0.4246543
8605.87  0.4246136
8606.127  0.4245467
8606.384  0.4245429
8606.642  0.4244945
8606.897  0.4244171
8607.153  0.4244868
8607.411  0.4243261
8607.668  0.4242957
8607.925  0.4243024
8608.182  0.4242068
8608.438  0.4240932
8608.694  0.4241811
8608.951  0.4240958
8609.208  0.4240718
8609.465  0.4240028
8609.723  0.4240359
8609.979  0.4239772
8610.236  0.4239633
8610.493  0.4239617
8610.75  0.4238825
8611.008  0.4238892
8611.263  0.4237675
8611.521  0.423654
8611.777  0.4237705
8612.035  0.4236228
8616.663  0.4230305
8621.811  0.4222323
8626.963  0.4214732
8632.118  0.420785
8637.279  0.4200108
8642.443  0.4193673
8647.612  0.418664
8652.786  0.417765
8657.964  0.4169372
8663.146  0.4162114
8668.331  0.4155076
8673.521  0.414727
8678.715  0.4141129
8683.912  0.4132699
8689.113  0.4126185
8694.318  0.4119003
8699.527  0.4111162
8704.739  0.4103368
8709.956  0.4097188
8715.176  0.4090274
8720.399  0.4082357
8725.628  0.4075502
8730.859  0.4067771
8736.095  0.4060899
8741.333  0.4054607
8746.576  0.4047494
8751.824  0.4040345
8757.075  0.4033779
8757.206  0.4033448
8757.468  0.4033008
8757.731  0.4031909
8757.994  0.4032325
8758.256  0.4032325
8758.521  0.4031056
8758.782  0.4031666
8759.045  0.4031228
8759.308  0.4030716
8759.57  0.402908
8759.833  0.4029009
8760.096  0.402918
8760.359  0.4028522
8760.621  0.4028936
8760.885  0.4027767
8761.147  0.4027693
8761.41  0.4027181
8761.674  0.4026842
8761.935  0.4027012
8762.199  0.4026602
8762.461  0.4026016
8762.725  0.4025409
8762.987  0.4024825
8763.25  0.4024655
8763.513  0.4024219
8763.775  0.4022929
8764.039  0.4023005
8764.302  0.4023663
8764.564  0.4022304
8764.827  0.4022985
8765.091  0.402189
8765.353  0.4023426
8765.615  0.4021457
8765.879  0.4021726
8766.142  0.4021387
8766.405  0.4020976
8766.668  0.4020466
8766.932  0.4021245
8767.194  0.4020227
8767.458  0.4019718
8767.72  0.4019721
8767.983  0.401841
8770.614  0.4016733
8773.247  0.4013295
8775.88  0.4008462
8778.515  0.4005984
8781.15  0.4002286
8781.282  0.4001696
8781.547  0.4000688
8781.81  0.4001271
8782.073  0.4000963
8782.337  0.4000992
8782.601  0.4000226
8782.864  0.3999892
8783.127  0.4000066
8783.392  0.3998962
8783.654  0.3998365
8783.919  0.3998467
8784.183  0.3997386
8784.446  0.3997706
8784.71  0.3997855
8784.974  0.3996535
8785.237  0.3998133
8785.501  0.3996643
8785.766  0.3995541
8786.029  0.3995957
8786.292  0.3996397
8786.557  0.399498
8786.821  0.3995564
8787.085  0.3993717
8787.349  0.3994637
8787.612  0.3992958
8787.876  0.3993301
8788.14  0.3992273
8788.403  0.399329
8788.668  0.3992453
8788.932  0.3992292
8789.196  0.3992634
8789.46  0.3990957
8789.724  0.3990555
8789.987  0.3990057
8790.252  0.3989196
8790.516  0.3990405
8790.78  0.3989573
8791.044  0.3989145
8791.308  0.3987398
8791.571  0.3986731
8791.836  0.3985996
8792.101  0.3987685
8793.552  0.3985118
8797.516  0.3980725
8801.481  0.3974728
8805.451  0.3971331
8809.421  0.3965805
8813.396  0.3960565
8817.374  0.3956318
8821.353  0.3951189
8825.336  0.3947386
8829.321  0.3941493
8833.311  0.3937088
8837.303  0.3930958
8841.298  0.3926783
8845.296  0.3922836
8849.299  0.3918999
8853.303  0.3914784
8857.311  0.3910068
8861.324  0.390491
8865.339  0.3901307
8869.358  0.3896419
8873.381  0.3892525
8877.406  0.3889619
8881.438  0.3884693
8885.471  0.3881655
8889.508  0.3878311
8893.55  0.3875303
8897.597  0.3870862
8901.646  0.3868619
8905.701  0.3865654
8909.758  0.3863341
8913.82  0.3861934
8917.888  0.3859483
8921.96  0.3859503
8926.035  0.3858188
8930.115  0.3858696
8934.2  0.3860282
8938.29  0.3862608
8938.836  0.3864349
8940.883  0.3866715
8942.932  0.3870033
8944.979  0.387192
8947.03  0.3877359
8949.082  0.3881717
8951.135  0.3887879
8953.188  0.3896388
8953.326  0.3897751
8953.6  0.3898505
8953.874  0.3899644
8954.146  0.3900147
8954.423  0.3901763
8954.697  0.3903057
8954.971  0.3905057
8955.244  0.3906286
8955.519  0.3906947
8955.793  0.3908086
8956.066  0.3910744
8956.341  0.3912358
8956.615  0.3913338
8956.89  0.3915336
8957.164  0.3917108
8957.437  0.3918561
8957.713  0.392113
8957.986  0.3922266
8958.261  0.3923723
8958.536  0.3926129
8958.81  0.3927652
8959.084  0.3930219
8959.358  0.3932944
8959.634  0.3934812
8959.907  0.3937378
8960.183  0.3939722
8960.457  0.3941177
8960.731  0.3944382
8961.005  0.3946314
8961.279  0.3949199
8961.555  0.3951292
8961.829  0.3954656
8962.104  0.3958248
8962.379  0.3960817
8962.654  0.3962911
8962.929  0.396771
8963.203  0.3970028
8963.479  0.397276
8963.753  0.3976539
8964.028  0.3979272
8964.302  0.3982255
8964.577  0.3985786
8964.854  0.399107
8965.126  0.3994758
8965.402  0.3999889
8965.677  0.4003327
8965.952  0.4009032
8966.228  0.4013138
8966.503  0.401914
8966.777  0.4024435
8967.052  0.4028934
8967.327  0.4034875
8967.603  0.4040497
8967.878  0.4047085
8968.153  0.4054062
8968.429  0.4060082
8968.703  0.4066355
8968.979  0.4074724
