#F EADL97_MShellConstants.dat
#U00 This file is a conversion to specfile format of 
#U01 directly extracted EADL97 Shell constants.
#U02 to simplify its use with the fisx and PyMca software packages.
#U03
#U04 Neither those packages or their author(s) claim any ownership of
#U05 the data and they do not warrant the integrity of the data following 
#U07 the conversion process.
#U06
#U07 EADL itself can be found at:
#U08           http://www-nds.iaea.org/epdl97/libsall.htm
#U09 The code used to generate this file has been:
#U10 GenerateEADLShellConstants.py
#U11
#U12 The proper way to quote these data is:
#U13 D.E. Cullen, et al., "Tables and Graphs of Atomic Subshell and 
#U14 Relaxation Data Derived from the LLNL Evaluated Atomic Data Library
#U15 (EADL), Z = 1 - 100," Lawrence Livermore National Laboratory, UCRL-50400,
#U16  Vol. 30, October 1991
#U17 The author of these data, D.E. Cullen, has stated that redistribution of the
#U18 data is permitted provided the previous credits are maintained.
#U19 

#S 1 M1 x-ray data
#N 6
#L Z  f12  f13  f14  f15  omegaM1
1  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
2  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
3  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
4  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
5  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
6  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
7  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
8  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
9  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
10  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
11  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
12  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
13  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
14  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
15  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
16  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
17  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
18  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
19  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
20  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
21  3.2592E-01  6.4847E-01  1.1431E-02  1.4175E-02  5.5894E-06
22  3.1725E-01  6.4148E-01  1.9663E-02  2.1602E-02  4.6533E-06
23  3.1035E-01  6.3439E-01  2.7268E-02  2.7988E-02  0.0000E+00
24  3.0343E-01  6.2828E-01  3.4581E-02  3.3699E-02  0.0000E+00
25  2.9639E-01  6.2133E-01  4.2617E-02  3.9646E-02  0.0000E+00
26  2.9117E-01  6.1355E-01  5.0193E-02  4.5067E-02  0.0000E+00
27  2.8426E-01  6.0767E-01  5.7787E-02  5.0262E-02  0.0000E+00
28  2.7878E-01  6.0106E-01  6.5083E-02  5.5050E-02  0.0000E+00
29  2.7243E-01  5.9262E-01  7.3459E-02  6.1463E-02  0.0000E+00
30  2.6510E-01  5.8166E-01  8.2161E-02  7.0321E-02  0.0000E+00
31  2.5459E-01  5.6579E-01  9.3622E-02  8.4404E-02  0.0000E+00
32  2.4252E-01  5.3924E-01  1.0813E-01  1.0711E-01  0.0000E+00
33  2.4336E-01  5.0622E-01  1.1862E-01  1.2680E-01  0.0000E+00
34  2.5553E-01  4.8469E-01  1.1484E-01  1.3052E-01  0.0000E+00
35  2.6276E-01  4.6442E-01  1.0587E-01  1.2562E-01  2.4337E-05
36  2.5916E-01  4.5292E-01  9.5692E-02  1.1839E-01  2.8225E-05
37  2.5846E-01  4.4578E-01  8.8221E-02  1.1260E-01  3.3447E-05
38  2.5883E-01  4.4354E-01  8.2523E-02  1.0804E-01  3.8785E-05
39  2.6042E-01  4.3966E-01  7.8934E-02  1.0476E-01  4.5251E-05
40  2.6023E-01  4.3692E-01  7.5874E-02  1.0145E-01  5.2489E-05
41  2.6326E-01  4.3147E-01  7.2575E-02  9.7167E-02  6.0220E-05
42  2.6630E-01  4.2663E-01  7.0908E-02  9.4804E-02  6.8475E-05
43  2.7128E-01  4.2142E-01  6.9561E-02  9.2867E-02  7.7134E-05
44  2.7895E-01  4.1824E-01  6.4849E-02  9.0648E-02  8.6815E-05
45  2.9348E-01  4.2283E-01  5.4370E-02  7.8395E-02  9.9251E-05
46  3.0314E-01  4.1893E-01  5.2531E-02  7.5673E-02  1.0855E-04
47  3.0723E-01  4.1549E-01  5.2498E-02  7.5564E-02  1.1991E-04
48  3.0681E-01  4.1641E-01  5.2967E-02  7.6160E-02  1.3328E-04
49  2.8948E-01  4.2515E-01  5.6509E-02  8.1239E-02  1.5593E-04
50  2.9198E-01  4.2624E-01  5.6177E-02  8.0645E-02  1.7507E-04
51  2.9451E-01  4.2718E-01  5.5923E-02  8.0133E-02  1.9747E-04
52  2.9271E-01  4.2860E-01  5.6954E-02  8.1460E-02  2.2625E-04
53  2.7653E-01  4.3513E-01  6.1110E-02  8.7306E-02  2.6922E-04
54  2.3950E-01  4.3833E-01  7.5698E-02  1.0800E-01  3.6657E-04
55  2.4382E-01  4.3842E-01  7.5539E-02  1.0757E-01  4.1086E-04
56  2.4520E-01  4.3943E-01  7.6035E-02  1.0807E-01  4.5989E-04
57  2.4645E-01  4.4049E-01  7.6450E-02  1.0852E-01  5.1262E-04
58  2.5276E-01  4.4444E-01  7.3374E-02  1.0408E-01  5.2602E-04
59  2.5664E-01  4.4724E-01  7.1866E-02  1.0186E-01  5.5839E-04
60  2.5940E-01  4.5044E-01  7.0546E-02  9.9876E-02  5.9208E-04
61  2.6148E-01  4.5311E-01  6.9662E-02  9.8577E-02  6.2929E-04
62  2.6246E-01  4.5610E-01  6.8974E-02  9.7522E-02  6.6834E-04
63  2.6255E-01  4.5979E-01  6.8380E-02  9.6603E-02  7.0907E-04
64  2.6147E-01  4.6310E-01  6.9057E-02  9.5677E-02  7.7361E-04
65  2.6104E-01  4.6754E-01  6.7370E-02  9.5008E-02  7.9611E-04
66  2.5917E-01  4.7198E-01  6.7033E-02  9.4440E-02  8.4314E-04
67  2.5686E-01  4.7683E-01  6.6684E-02  9.3795E-02  8.9154E-04
68  2.5355E-01  4.8241E-01  6.6487E-02  9.3477E-02  9.4389E-04
69  2.4889E-01  4.8885E-01  6.6501E-02  9.3330E-02  1.0006E-03
70  2.4568E-01  4.9467E-01  6.6256E-02  9.2932E-02  1.0561E-03
71  2.2489E-01  5.1268E-01  6.8405E-02  9.5615E-02  1.1594E-03
72  1.9344E-01  5.3799E-01  7.1570E-02  9.9976E-02  1.2907E-03
73  1.4999E-01  5.7291E-01  7.6090E-02  1.0625E-01  1.4573E-03
74  1.2833E-01  5.9048E-01  7.8422E-02  1.0943E-01  1.5972E-03
75  1.2860E-01  5.9132E-01  7.8704E-02  1.0963E-01  1.7040E-03
76  1.2859E-01  5.9217E-01  7.9039E-02  1.0978E-01  1.8188E-03
77  1.2811E-01  5.9341E-01  7.9521E-02  1.1012E-01  1.9410E-03
78  1.2733E-01  5.9385E-01  8.0073E-02  1.1061E-01  2.0738E-03
79  1.2586E-01  5.9503E-01  8.0617E-02  1.1119E-01  2.2169E-03
80  1.2456E-01  5.9564E-01  8.1332E-02  1.1181E-01  2.3700E-03
81  1.2319E-01  5.9605E-01  8.1979E-02  1.1263E-01  2.5411E-03
82  1.2080E-01  5.9704E-01  8.2767E-02  1.1335E-01  2.7269E-03
83  1.1803E-01  5.9836E-01  8.3549E-02  1.1412E-01  2.9294E-03
84  1.1510E-01  5.9969E-01  8.4409E-02  1.1496E-01  3.1502E-03
85  1.1134E-01  6.0250E-01  8.5399E-02  1.1594E-01  3.3887E-03
86  1.0773E-01  6.0469E-01  8.6178E-02  1.1661E-01  3.6415E-03
87  1.0357E-01  6.0577E-01  8.7108E-02  1.1757E-01  3.9155E-03
88  1.0692E-01  5.8756E-01  9.3360E-02  1.2560E-01  4.4380E-03
89  1.0514E-01  5.8672E-01  9.3985E-02  1.2600E-01  4.7494E-03
90  9.5684E-02  5.9308E-01  9.5835E-02  1.2802E-01  5.1240E-03
91  8.5411E-02  5.9990E-01  9.7361E-02  1.2963E-01  5.5005E-03
92  8.6651E-02  5.9752E-01  9.7546E-02  1.2942E-01  5.8381E-03
93  8.7534E-02  5.9533E-01  9.7752E-02  1.2927E-01  6.1991E-03
94  8.2860E-02  6.1624E-01  9.2528E-02  1.2194E-01  6.2098E-03
95  8.3861E-02  6.1509E-01  9.2444E-02  1.2134E-01  6.5953E-03
96  7.1881E-02  6.1896E-01  9.4856E-02  1.2398E-01  7.0601E-03
97  7.1933E-02  6.1723E-01  9.5226E-02  1.2400E-01  7.5663E-03
98  7.2964E-02  6.1461E-01  9.5581E-02  1.2398E-01  8.0694E-03
99  7.3472E-02  6.1241E-01  9.5996E-02  1.2400E-01  8.5820E-03
100  7.3951E-02  6.1053E-01  9.6330E-02  1.2390E-01  9.1265E-03

#S 2 M2 x-ray data
#N 5
#L Z  f23  f24  f25  omegaM2
1  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
2  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
3  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
4  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
5  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
6  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
7  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
8  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
9  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
10  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
11  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
12  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
13  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
14  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
15  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
16  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
17  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
18  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
19  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
20  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
21  0.0000E+00  9.2842E-01  7.1579E-02  5.6223E-05
22  0.0000E+00  9.5437E-01  4.5631E-02  3.5591E-05
23  0.0000E+00  9.6139E-01  3.8611E-02  0.0000E+00
24  0.0000E+00  9.6506E-01  3.4938E-02  0.0000E+00
25  0.0000E+00  9.6827E-01  3.1732E-02  0.0000E+00
26  0.0000E+00  9.6987E-01  3.0125E-02  0.0000E+00
27  0.0000E+00  9.7093E-01  2.9059E-02  0.0000E+00
28  0.0000E+00  9.7165E-01  2.8332E-02  0.0000E+00
29  0.0000E+00  9.7157E-01  2.8410E-02  0.0000E+00
30  0.0000E+00  9.6875E-01  3.1211E-02  0.0000E+00
31  0.0000E+00  9.6069E-01  3.8940E-02  0.0000E+00
32  0.0000E+00  9.4210E-01  5.6740E-02  0.0000E+00
33  0.0000E+00  9.1710E-01  8.0271E-02  0.0000E+00
34  0.0000E+00  8.8616E-01  1.0855E-01  0.0000E+00
35  0.0000E+00  8.4913E-01  1.4145E-01  5.7844E-05
36  0.0000E+00  8.0252E-01  1.8184E-01  6.8694E-05
37  1.3471E-03  7.4749E-01  2.2815E-01  8.7096E-05
38  4.9033E-03  6.8634E-01  2.7727E-01  1.1100E-04
39  1.2453E-02  6.3528E-01  3.1104E-01  1.4114E-04
40  1.9363E-02  6.3059E-01  3.0389E-01  1.5131E-04
41  2.7566E-02  6.2334E-01  2.9744E-01  1.6813E-04
42  3.4942E-02  6.1933E-01  2.8939E-01  1.8656E-04
43  4.2054E-02  6.1559E-01  2.8144E-01  2.0952E-04
44  4.9465E-02  6.1186E-01  2.7318E-01  2.3787E-04
