#F K Shell Constants
#U00
#U01 These fluorescence yields have been generated using the semiempirical
#U02 formula of W. Bambynek:
#U03
#U03 W. Bambynek, Proc. Conf. on X-ra and Inner Shell Processes in Atoms,
#U04 Molecules and Solids, Aug. 20-24, Leipzig, Germany, 1984.
#U05
#U06 The generated values are in good agreement with the theoretical values
#U07 published by Chen et al. in Phys. Rev. A 21 (1980) 436-441.
#U08

#S 1 K Shell Fluorescence Yields
#N 2
#L Z  omegaK
1  0.00000  
2  0.00000  
3  0.00029  
4  0.00069  
5  0.00141  
6  0.00257  
7  0.00435  
8  0.00691  
9  0.01045  
10  0.01519  
11  0.02133  
12  0.02911  
13  0.03872  
14  0.05037  
15  0.06422  
16  0.08038  
17  0.09892  
18  0.11987  
19  0.14317  
20  0.16868  
21  0.19624  
22  0.22559  
23  0.25644  
24  0.28845  
25  0.32128  
26  0.35457  
27  0.38797  
28  0.42115  
29  0.45382  
30  0.48571  
31  0.51661  
32  0.54635  
33  0.57480  
34  0.60187  
35  0.62749  
36  0.65165  
37  0.67435  
38  0.69562  
39  0.71548  
40  0.73399  
41  0.75122  
42  0.76722  
43  0.78207  
44  0.79584  
45  0.80859  
46  0.82041  
47  0.83134  
48  0.84147  
49  0.85084  
50  0.85952  
51  0.86756  
52  0.87500  
53  0.88190  
54  0.88830  
55  0.89423  
56  0.89974  
57  0.90485  
58  0.90961  
59  0.91403  
60  0.91814  
61  0.92197  
62  0.92554  
63  0.92886  
64  0.93196  
65  0.93486  
66  0.93756  
67  0.94009  
68  0.94245  
69  0.94466  
70  0.94673  
71  0.94867  
72  0.95048  
73  0.95218  
74  0.95377  
75  0.95526  
76  0.95667  
77  0.95798  
78  0.95921  
79  0.96037  
80  0.96145  
81  0.96247  
82  0.96342  
83  0.96431  
84  0.96515  
85  0.96593  
86  0.96667  
87  0.96735  
88  0.96799  
89  0.96858  
90  0.96914  
91  0.96965  
92  0.97012  
93  0.97056  
94  0.97096  
95  0.97133  
96  0.97167  
97  0.97197  
98  0.97224  
99  0.97248  
100  0.97269  
101  0.97287  
102  0.97303  
103  0.97315  
104  0.97324  
105  0.97331  
106  0.97334  
107  0.97335  
108  0.97333  
109  0.97328  
